title	url	duration	Video	content1	content_map1	content_map_hierarchy1	format1	format_map1	format_map_hierarchy1	content2	content_map2	content_map_hierarchy2	format2	format_map2	format_map_hierarchy2	channelName	id
Why the US and Iran are fighting over this tiny waterway	https://www.youtube.com/watch?v=cUBg6Qp_N98	563.0	Vox_cUBg6Qp_N98	edu.social.politics	politics	socialsciences	docustyle	Documentary Style	Documentaries	news.politics	geopolitical-news	news	animated.info	Infographics	Graphics	Vox	cUBg6Qp_N98
Why The British Museum Has The Parthenon Marbles	https://www.youtube.com/watch?v=90hpwMFtHvU	576.0	Nerdwriter1_90hpwMFtHvU	edu.social.history	history	arts/culture	docustyle	Documentary Style	Documentaries	edu.arts.architecture	arts	arts/culture	animated.info	Infographics	Graphics	Nerdwriter1	90hpwMFtHvU
Ask This Old House Experts Show Jimmy How to Survive Winter at Home	https://www.youtube.com/watch?v=KRtRy6C8etg	405.0	Jimmy_Fallon_KRtRy6C8etg	skills.diy.homeimprovement	diy	tutorials	practicaldemonstration.engineering	Experiments	Demonstrations	lifestyle.home	home	lifestyle_wellbeing	talkinghead.frameregular	Talking Head - Center	Talking Head	Jimmy_Fallon	KRtRy6C8etg
Three of the Best Gordon Ramsay Hotel Hell Makeovers	https://www.youtube.com/watch?v=_GkVrmNBEL4	261.0	Gordon_Ramsay__GkVrmNBEL4	lifestyle.home	home	lifestyle_wellbeing	docustyle	Documentary Style	Documentaries	entertainment.reality.living	reality-tv	tv_entertainment	talkinghead.frameregular	Talking Head - Center	Talking Head	Gordon_Ramsay	_GkVrmNBEL4
Women Know Things That Men Don't. Fred Klett	https://www.youtube.com/watch?v=ntvyMfRPKBM	524.0	Dry_Bar_Comedy_ntvyMfRPKBM	entertainment.comedy.standup	comedy	comedy	persononstage	Stage Talks	Stage Talks	edu.arts.architecture	arts	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	Dry_Bar_Comedy	ntvyMfRPKBM
Bonhoeffer‘s Theory of Stupidity	https://www.youtube.com/watch?v=ww47bR86wSc	359.0	Sprouts_ww47bR86wSc	edu.humanities.philosophy	humanities	humanities/philosophy	animated.comic	Comic Panel Style	Animations	edu.social.sociology	sociology	socialsciences	animated.info	Infographics	Graphics	Sprouts	ww47bR86wSc
Panic Room (4/8) Movie CLIP - Get Out of My House! (2002) HD	https://www.youtube.com/watch?v=8XTt2uGxh9E	161.0	RottenTomatoes_8XTt2uGxh9E	entertainment.movies.clips	movie-clips	tv_entertainment	surveillancefootage	Surveillance Cam	Others	edu.arts.architecture	arts	arts/culture	talkinghead.framecorner	Talking Head - Corner	Talking Head	RottenTomatoes	8XTt2uGxh9E
The Wild Science Behind Extended Release Medications	https://www.youtube.com/watch?v=I8sOH1f3cws	457.0	SciShow_I8sOH1f3cws	edu.medicine.pharmacy	medicine	lifesciences	animated.info	Infographics	Graphics	edu.stem.chemistry.nanotechnology	chemistry	physicalsciences	animated.graphics	Animated Graphics	Graphics	SciShow	I8sOH1f3cws
Digital Hygiene: How We Might've Fucked Our Attention Spans	https://www.youtube.com/watch?v=VpHyLG-sc4g	327.0	exurb1a_VpHyLG-sc4g	growth.motivational	selfhelp	lifestyle_wellbeing	animated.graphics	Animated Graphics	Graphics	wellbeing.mentalhealth	wellbeing	lifestyle_wellbeing	animated.info	Infographics	Graphics	exurb1a	VpHyLG-sc4g
What if Dinosaurs came back? + more videos | #aumsum #kids #science #education #whatif	https://www.youtube.com/watch?v=xnfVxKKg8qs	207.0	AumSum_Time_xnfVxKKg8qs	edu.stem.biology.zoology	biology	lifesciences	animated.cartoon	Cartoon	Animations	edu.stem.biology.microbiology	biology	lifesciences	animated.info	Infographics	Graphics	AumSum_Time	xnfVxKKg8qs
Men in Blazers on Chelsea, Manchester United and West Ham's Seasons - Late Night with Seth Meyers	https://www.youtube.com/watch?v=8O4hzmv7k6U	275.0	Seth_Meyers_8O4hzmv7k6U	entertainment.sports.team	sports	sports	paneldiscussion.inperson	Panel - In Person	Panel	news.sports	sports-news	sports	talkinghead.frameregular	Talking Head - Center	Talking Head	Seth_Meyers	8O4hzmv7k6U
The Night Before (9/10) Movie CLIP - We Did Not Kill Jesus! (2015) HD	https://www.youtube.com/watch?v=kptIt3LwGWc	161.0	RottenTomatoes_kptIt3LwGWc	entertainment.movies.clips	movie-clips	tv_entertainment	skit	Skit	Skit	entertainment.comedy.sketch	comedy	comedy	talkinghead.frameregular	Talking Head - Center	Talking Head	RottenTomatoes	kptIt3LwGWc
The Science of Jetpacks and Rockets!	https://www.youtube.com/watch?v=Hx9TwM4Pmhc	517.0	Veritasium_Hx9TwM4Pmhc	edu.stem.physics.mechanics	physics	physicalsciences	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.stem.engineering.aerospace	engineering	tech/engineering	animated.info	Infographics	Graphics	Veritasium	Hx9TwM4Pmhc
MERS-CoV and SARS-CoV-2 (COVID-19)	https://www.youtube.com/watch?v=plw-ySLS-lI	349.0	Professor_Dave_Explains_plw-ySLS-lI	edu.medicine.pharmacy	medicine	lifesciences	slides	Slidedecks	Slidedecks	edu.medicine.internalmedicine	medicine	lifesciences	animation.powerpoint	Slidedecks	Slidedecks	Professor_Dave_Explains	plw-ySLS-lI
Why This Senate Candidate Is a Potential ‘Shock to the System’	https://www.youtube.com/watch?v=EE2WJlhA0VI	555.0	NYT_Podcasts_EE2WJlhA0VI	news.domestic	domestic-news	news	placeholderdisplay	Static Screen	Others	edu.social.politics	politics	socialsciences	talkinghead.framecorner	Talking Head - Corner	Talking Head	NYT_Podcasts	EE2WJlhA0VI
Building the Thinnest Skyscraper South of the Equator	https://www.youtube.com/watch?v=mKSMT6sEmrs	371.0	The_B1M_mKSMT6sEmrs	edu.arts.architecture	arts	arts/culture	docustyle	Documentary Style	Documentaries	edu.stem.engineering.civil	engineering	tech/engineering	animated.graphics	Animated Graphics	Graphics	The_B1M	mKSMT6sEmrs
When Insanity Becomes Normal - Venezuela	https://www.youtube.com/watch?v=kmvAdRntWH8	370.0	minutephysics_kmvAdRntWH8	news.international	geopolitical-news	news	docustyle	Documentary Style	Documentaries	edu.social.politics	politics	socialsciences	animated.info	Infographics	Graphics	minutephysics	kmvAdRntWH8
U-TURN?: Biden admin throws electric vehicle mandate in reverse	https://www.youtube.com/watch?v=GDq21Z6itmY	276.0	Fox_US_News_GDq21Z6itmY	edu.social.politics	politics	socialsciences	docustyle	Documentary Style	Documentaries	news.politics	geopolitical-news	news	talkinghead.frameregular	Talking Head - Center	Talking Head	Fox_US_News	GDq21Z6itmY
3 examples of AI transforming business processes	https://www.youtube.com/watch?v=T0ddxWoQ4No	522.0	IBM_Technology_T0ddxWoQ4No	edu.business.management	business	business/finance	animated.info	Infographics	Graphics	edu.stem.engineering.computerscience	computersci	tech/engineering	animated.graphics	Animated Graphics	Graphics	IBM_Technology	T0ddxWoQ4No
How do you Deaf? | Kerry Tidman | TEDxWolverhampton	https://www.youtube.com/watch?v=8_HYbqUAp8o	415.0	TEDx_8_HYbqUAp8o	growth.motivational	selfhelp	lifestyle_wellbeing	persononstage	Stage Talks	Stage Talks	wellbeing.mentalhealth	wellbeing	lifestyle_wellbeing	talkinghead.frameregular	Talking Head - Center	Talking Head	TEDx	8_HYbqUAp8o
Women Try Men's Beauty Products	https://www.youtube.com/watch?v=8e6juDlSmIo	217.0	Facts_8e6juDlSmIo	lifestyle.style.beauty	beauty	lifestyle_wellbeing	talkinghead.frameregular	Talking Head - Center	Talking Head	misc.productreview	product-reviews	reviews	conversation.casual	Talkshows	Interviews	Facts	8e6juDlSmIo
Life After Brain Injury: What To Expect on the Road Ahead	https://www.youtube.com/watch?v=Im91tgK37vo	561.0	AskTheLawyers_Im91tgK37vo	edu.social.law	law	socialsciences	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.medicine.neurology	medicine	lifesciences	talkinghead.framecorner	Talking Head - Corner	Talking Head	AskTheLawyers	Im91tgK37vo
Does the Food Chain Stop At Jellyfish?		348.0	SciShow_z5Rm3GB0f7I	edu.stem.biology.marinebiology	biology	lifesciences	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.stem.biology.ecology	biology	lifesciences	animated.info	Infographics	Graphics	SciShow	z5Rm3GB0f7I
ADVANCED VERBS FOR WORK 👔 | Vocabulary Lesson	https://www.youtube.com/watch?v=WbHkaXrx0lE	549.0	Interactive_English_WbHkaXrx0lE	language.teachinglanguage	teaching	pedagogy	talkinghead.frameregular	Talking Head - Center	Talking Head	language.internationallanguage	languages	tutorials	animated.graphics	Animated Graphics	Graphics	Interactive_English	WbHkaXrx0lE
Shane Black & the Christmas Action Movie	https://www.youtube.com/watch?v=Qdutj-VHW0c	431.0	Patrick_Willems_Qdutj-VHW0c	entertainment.movies.review	movie-reviews	tv_entertainment	docustyle	Documentary Style	Documentaries	edu.arts.media	arts	arts/culture	animated.graphics	Animated Graphics	Graphics	Patrick_Willems	Qdutj-VHW0c
Socialization: Crash Course Sociology #14	https://www.youtube.com/watch?v=K-RvJQxqVQc	576.0	CrashCourse_K-RvJQxqVQc	edu.social.sociology	sociology	socialsciences	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.social.psychology	psychology	socialsciences	animated.info	Infographics	Graphics	CrashCourse	K-RvJQxqVQc
Monster's Ball (2001) - Can I Touch You? Scene (11/11) | Movieclips	https://www.youtube.com/watch?v=y3zcF3YvK-o	160.0	RottenTomatoes_y3zcF3YvK-o	entertainment.movies.clips	movie-clips	tv_entertainment	talkinghead.framecorner	Talking Head - Corner	Talking Head	edu.arts.architecture	arts	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	RottenTomatoes	y3zcF3YvK-o
Constructing an exponential equation example | Algebra II | Khan Academy	https://www.youtube.com/watch?v=IlFD0LzAZeo	528.0	Khan_Academy_IlFD0LzAZeo	edu.stem.math.algebra	algebra	math/logic	writing.stylus	Writing Cursor	Writing Cursor	edu.business.economics	economics	socialsciences	board.whiteboard	Whieboard	Writing Board	Khan_Academy	IlFD0LzAZeo
DON'T Learn Slang	https://www.youtube.com/watch?v=_3uRxXq9O1c	502.0	Steve_Kaufmann__3uRxXq9O1c	language.internationallanguage	languages	tutorials	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.arts.languages	arts	arts/culture	animated.info	Infographics	Graphics	Steve_Kaufmann	_3uRxXq9O1c
Is The Chupacabra Actually Real? | El Chupacabras | The Mysterious Creature | Halloween Monsters	https://www.youtube.com/watch?v=J9fszFVSQRM	355.0	Peekaboo_Kidz_J9fszFVSQRM	misc.conspiracy	conspiracy	others	animated.info	Infographics	Graphics	edu.social.history	history	arts/culture	animated.cartoon	Cartoon	Animations	Peekaboo_Kidz	J9fszFVSQRM
Intuition behind formula for thermal conductivity | Physics | Khan Academy	https://www.youtube.com/watch?v=hDP6egLrsdM	377.0	Khan_Academy_hDP6egLrsdM	edu.stem.physics.thermodynamics	physics	physicalsciences	writing.stylus	Writing Cursor	Writing Cursor	edu.stem.physics.mechanics	physics	physicalsciences	talkinghead.framecorner	Talking Head - Corner	Talking Head	Khan_Academy	hDP6egLrsdM
Paranormal Activity: The Marked Ones (10/10) Movie CLIP - Katie and Micah (2014) HD	https://www.youtube.com/watch?v=koWVPnRRGlA	162.0	RottenTomatoes_koWVPnRRGlA	entertainment.movies.clips	movie-clips	tv_entertainment	pov.realworld	Point of View	Vlog	entertainment.drama.shortfilm	drama	tv_entertainment	surveillancefootage	Surveillance Cam	Others	RottenTomatoes	koWVPnRRGlA
Trying to Build a Vacuum Chamber	https://www.youtube.com/watch?v=97w8bl3n3eU	423.0	ElectroBOOM_97w8bl3n3eU	skills.diy.homeimprovement	diy	tutorials	practicaldemonstration.engineering	Experiments	Demonstrations	misc.lifehacks	internet-culture	others	talkinghead.frameregular	Talking Head - Center	Talking Head	ElectroBOOM	97w8bl3n3eU
Minecraft But Everything is 10x Bigger!	https://www.youtube.com/watch?v=ork4qET7pV0	541.0	MrBeast_Gaming_ork4qET7pV0	gaming.gameplay	gaming	gaming	gaming	Games	Gaming	vlog.daily	vlog	personal_vlogs	screencast	Screencasts	Screencasts	MrBeast_Gaming	ork4qET7pV0
Love and Attraction : How to Find a Lesbian Girlfriend	https://www.youtube.com/watch?v=y6R8kpPjuaU	193.0	eHowEducation_y6R8kpPjuaU	entertainment.reality.dating	dating	personal_vlogs	talkinghead.frameregular	Talking Head - Center	Talking Head	growth.motivational	selfhelp	lifestyle_wellbeing	talkinghead.framecorner	Talking Head - Corner	Talking Head	eHowEducation	y6R8kpPjuaU
An American Tail (1986) - Somewhere Out There Scene (5/10) | Movieclips	https://www.youtube.com/watch?v=2jzlSeFLr7A	167.0	RottenTomatoes_2jzlSeFLr7A	entertainment.movies.clips	movie-clips	tv_entertainment	animated.cartoon	Cartoon	Animations	entertainment.music	music	arts/culture	animated.graphics	Animated Graphics	Graphics	RottenTomatoes	2jzlSeFLr7A
Learn to DJ with Traktor: Browse & Load Tracks | DJ Tricks | Beginner | Music Production | ENDO	https://www.youtube.com/watch?v=8K9TAow_Shg	317.0	Berklee_8K9TAow_Shg	entertainment.music	music	arts/culture	screencast	Screencasts	Screencasts	edu.arts.architecture	arts	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	Berklee	8K9TAow_Shg
The Harvey Weinstein Trial: Everything You Need to Know	https://www.youtube.com/watch?v=pY8_lcpr8k8	477.0	Variety_pY8_lcpr8k8	news.domestic	domestic-news	news	docustyle	Documentary Style	Documentaries	news.politics	geopolitical-news	news	animated.info	Infographics	Graphics	Variety	pY8_lcpr8k8
Seth Meyers Has Shocking News About Lorde | The Tonight Show Starring Jimmy Fallon	https://www.youtube.com/watch?v=wQqPkw8W3G4	378.0	Jimmy_Fallon_wQqPkw8W3G4	entertainment.variety.talkshow	talkshows	tv_entertainment	conversation.casual	Talkshows	Interviews	entertainment.variety.latenight	talkshows	tv_entertainment	talkinghead.frameregular	Talking Head - Center	Talking Head	Jimmy_Fallon	wQqPkw8W3G4
Bank Breakers - SNL	https://www.youtube.com/watch?v=xCFkTmI_9kE	336.0	Saturday_Night_Live_xCFkTmI_9kE	entertainment.variety.quiz	quizzes	others	skit	Skit	Skit	entertainment.reality.competition	competitions	others	talkinghead.frameregular	Talking Head - Center	Talking Head	Saturday_Night_Live	xCFkTmI_9kE
Audience Q&A – SNL50 (360°)	https://www.youtube.com/watch?v=eNYAdiApj7k	584.0	Saturday_Night_Live_eNYAdiApj7k	entertainment.variety.talkshow	talkshows	tv_entertainment	persononstage	Stage Talks	Stage Talks	entertainment.variety.celebritycontent	celebrity-content	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	Saturday_Night_Live	eNYAdiApj7k
"Different Ways to Say ""Thank You!"" | Useful English Expressions"	https://www.youtube.com/watch?v=cufWcpdmT6Q	315.0	Interactive_English_cufWcpdmT6Q	language.internationallanguage	languages	tutorials	talkinghead.frameregular	Talking Head - Center	Talking Head	language.teachinglanguage	teaching	pedagogy	vlog	Vlog	Vlog	Interactive_English	cufWcpdmT6Q
Meghan Trainor and Jimmy Team Up for a High-Stakes Bonus Round of Password	https://www.youtube.com/watch?v=u0ssVJjDuLM	224.0	Jimmy_Fallon_u0ssVJjDuLM	entertainment.variety.magic	magic	others	talkinghead.frameregular	Talking Head - Center	Talking Head	entertainment.variety.quiz	quizzes	others	persononstage	Stage Talks	Stage Talks	Jimmy_Fallon	u0ssVJjDuLM
Study SMARTER, Not HARDER - How to use Active Recall and Spaced Repetition to Study Effectively	https://www.youtube.com/watch?v=N6oyiACGcJM	488.0	Motivation2Study_N6oyiACGcJM	edu.education.pedagogy.teachingprinciples	teaching	pedagogy	talkinghead.frameregular	Talking Head - Center	Talking Head	growth.careerdevelopment	selfhelp	lifestyle_wellbeing	animated.info	Infographics	Graphics	Motivation2Study	N6oyiACGcJM
When voting rights didn't protect all women	https://www.youtube.com/watch?v=ScU2oWfWReg	509.0	Vox_ScU2oWfWReg	edu.social.history	history	arts/culture	docustyle	Documentary Style	Documentaries	edu.social.politics	politics	socialsciences	animated.info	Infographics	Graphics	Vox	ScU2oWfWReg
History’s deadliest colors - J. V. Maranto	https://www.youtube.com/watch?v=gKfjHTk8KrY	314.0	TED_Ed_gKfjHTk8KrY	edu.social.history	history	arts/culture	animated.info	Infographics	Graphics	edu.arts.arthistory	arts	arts/culture	animated.graphics	Animated Graphics	Graphics	TED_Ed	gKfjHTk8KrY
The Cast Of Paper Girls Plays Who’s Who	https://www.youtube.com/watch?v=Y_1MnKPrpdU	299.0	BuzzFeed_Celeb_Y_1MnKPrpdU	entertainment.variety.celebritycontent	celebrity-content	arts/culture	conversation.casual	Talkshows	Interviews	entertainment.variety.talkshow	talkshows	tv_entertainment	talkinghead.frameregular	Talking Head - Center	Talking Head	BuzzFeed_Celeb	Y_1MnKPrpdU
The Matte Black OnePlus 3T!	https://www.youtube.com/watch?v=zOMGY22XQs8	274.0	Marques_Brownlee_zOMGY22XQs8	misc.productreview	product-reviews	reviews	talkinghead.frameregular	Talking Head - Center	Talking Head	news.technology	technology	tech/engineering	screencast	Screencasts	Screencasts	Marques_Brownlee	zOMGY22XQs8
Irish People Watch To Catch A Predator	https://www.youtube.com/watch?v=fkfWvvcWI_s	241.0	Facts_fkfWvvcWI_s	entertainment.reality.living	reality-tv	tv_entertainment	talkinghead.framecorner	Talking Head - Corner	Talking Head	edu.arts.media	arts	arts/culture	conversation.casual	Talkshows	Interviews	Facts	fkfWvvcWI_s
How to Be More Straightforward	https://www.youtube.com/watch?v=OhX8D18VncU	388.0	The_School_of_Life_OhX8D18VncU	growth.motivational	selfhelp	lifestyle_wellbeing	crafts.cutouts	Cutout	Animations	wellbeing.mentalhealth	wellbeing	lifestyle_wellbeing	animated.graphics	Animated Graphics	Graphics	The_School_of_Life	OhX8D18VncU
David Goggins Reacts To “Navy SEAL Selection Is Too Rough”	https://www.youtube.com/watch?v=XQRO4yHFA3A	354.0	Chris_Williamson_XQRO4yHFA3A	growth.motivational	selfhelp	lifestyle_wellbeing	conversation.podcast	Podcast	Interviews	entertainment.sports.extremes	sports	sports	talkinghead.frameregular	Talking Head - Center	Talking Head	Chris_Williamson	XQRO4yHFA3A
Shorting stock | Stocks and bonds | Finance & Capital Markets | Khan Academy	https://www.youtube.com/watch?v=-IDmLERenrU	572.0	Khan_Academy_-IDmLERenrU	edu.business.finance	finance	business/finance	writing.stylus	Writing Cursor	Writing Cursor	edu.business.economics	economics	socialsciences	animated.info	Infographics	Graphics	Khan_Academy	-IDmLERenrU
Lisa Frankenstein (2024) - Zombie Breaking-And-Entering Scene | Movieclips	https://www.youtube.com/watch?v=DWHWQI1qIHg	239.0	RottenTomatoes_DWHWQI1qIHg	entertainment.movies.clips	movie-clips	tv_entertainment	skit	Skit	Skit	entertainment.movies.review	movie-reviews	tv_entertainment	talkinghead.framecorner	Talking Head - Corner	Talking Head	RottenTomatoes	DWHWQI1qIHg
12 Ways to Use Silence to Gain Respect and Attention	https://www.youtube.com/watch?v=fjm6sr6briE	504.0	BRAINY_DOSE_fjm6sr6briE	misc.lifehacks	internet-culture	others	animated.graphics	Animated Graphics	Graphics	growth.motivational	selfhelp	lifestyle_wellbeing	talkinghead.frameregular	Talking Head - Center	Talking Head	BRAINY_DOSE	fjm6sr6briE
Cold Lentils Salad in French dressing With Poached Egg & Bacon	https://www.youtube.com/watch?v=DmNBs6Jj3Rw	262.0	French_Cooking_Academy_DmNBs6Jj3Rw	skills.culinary.cooking	culinary	culinary	practicaldemonstration.cooking	Cooking	Demonstrations	lifestyle.food	food	lifestyle_wellbeing	docustyle	Documentary Style	Documentaries	French_Cooking_Academy	DmNBs6Jj3Rw
John Cena Apologizing to China Signifies Cultural Shift	https://www.youtube.com/watch?v=CdDmUDxEqwo	535.0	PowerfulJRE_CdDmUDxEqwo	news.politics	geopolitical-news	news	conversation.podcast	Podcast	Interviews	news.international	geopolitical-news	news	conversation.casual	Talkshows	Interviews	PowerfulJRE	CdDmUDxEqwo
Real Life Spider-man Tech THAT ACTUALLY EXISTS!	https://www.youtube.com/watch?v=_-hSMsNtlic	525.0	Hacksmith_Industries__-hSMsNtlic	vlog.daily	vlog	personal_vlogs	practicaldemonstration.engineering	Experiments	Demonstrations	edu.stem.engineering.mechanical	engineering	tech/engineering	talkinghead.frameregular	Talking Head - Center	Talking Head	Hacksmith_Industries	_-hSMsNtlic
Hans Haacke – Exposing Systems of Power | TateShots	https://www.youtube.com/watch?v=oKRly5xc0_g	185.0	Khan_Academy_oKRly5xc0_g	edu.arts.visual	arts	arts/culture	docustyle	Documentary Style	Documentaries	edu.arts.arthistory	arts	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	Khan_Academy	oKRly5xc0_g
Great Minds We Lost in 2012		504.0	SciShow_dGsp1c_2KX8	edu.stem.engineering.environmental	engineering	tech/engineering	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.stem.neuroscience	neurosci	lifesciences	animated.info	Infographics	Graphics	SciShow	dGsp1c_2KX8
Sarah Hyland Can't Stop Staring at the Love Island USA Contestants | The Tonight Show	https://www.youtube.com/watch?v=hCfa1hFqurQ	327.0	Jimmy_Fallon_hCfa1hFqurQ	entertainment.reality.dating	dating	personal_vlogs	talkinghead.frameregular	Talking Head - Center	Talking Head	entertainment.variety.celebritycontent	celebrity-content	arts/culture	conversation.casual	Talkshows	Interviews	Jimmy_Fallon	hCfa1hFqurQ
Engaging Boys: Geocaching: Students Create an Online User's Manual	https://www.youtube.com/watch?v=CQrw17QBgfw	397.0	Knatim_CQrw17QBgfw	edu.education.pedagogy.teachingprinciples	teaching	pedagogy	classroom	Classroom	Lectures	edu.education.pedagogy.teachingtools	teaching	pedagogy	talkinghead.frameregular	Talking Head - Center	Talking Head	Knatim	CQrw17QBgfw
Extreme Baking Championship - SNL	https://www.youtube.com/watch?v=CniGk7Dyp1c	314.0	Saturday_Night_Live_CniGk7Dyp1c	entertainment.comedy.sketch	comedy	comedy	skit	Skit	Skit	entertainment.comedy.parody	comedy	comedy	practicaldemonstration.cooking	Cooking	Demonstrations	Saturday_Night_Live	CniGk7Dyp1c
Seasonal Genes & The Science of Fear		266.0	SciShow_86L4oRORREY	edu.stem.biology.genomics	biotech	lifesciences	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.stem.biology.genetics	biology	lifesciences	docustyle	Documentary Style	Documentaries	SciShow	86L4oRORREY
The Dangers of Climbing Helmcken Falls | Edge of the Unknown on Disney+	https://www.youtube.com/watch?v=DutFDl3AnXU	246.0	National_Geographic_DutFDl3AnXU	entertainment.sports.adventure	sports	sports	docustyle	Documentary Style	Documentaries	entertainment.sports.extremes	sports	sports	animated.graphics	Animated Graphics	Graphics	National_Geographic	DutFDl3AnXU
Jacksepticeye Animated | I AM TOAST!	https://www.youtube.com/watch?v=gakHw6NrOYA	182.0	jacksepticeye_gakHw6NrOYA	gaming.gameplay	gaming	gaming	animated.cartoon	Cartoon	Animations	vlog.daily	vlog	personal_vlogs	animated.graphics	Animated Graphics	Graphics	jacksepticeye	gakHw6NrOYA
Is Code Generation with AI the New Programmer Tool of Choice?	https://www.youtube.com/watch?v=Z_OSq0eh2xM	422.0	IBM_Technology_Z_OSq0eh2xM	skills.digital.coding	software-tutorials	tutorials	board.lightboard	Glassboard	Writing Board	edu.stem.engineering.computerscience	computersci	tech/engineering	writing.stylus	Writing Cursor	Writing Cursor	IBM_Technology	Z_OSq0eh2xM
Matt Damon Wanted To Play Michael Bluth In Arrested Development Movie | Conan O'Brien Needs A Friend	https://www.youtube.com/watch?v=jS4StfBp4K4	497.0	Conan_OBrien_jS4StfBp4K4	edu.arts.acting	arts	arts/culture	conversation.podcast	Podcast	Interviews	entertainment.variety.talkshow	talkshows	tv_entertainment	paneldiscussion.inperson	Panel - In Person	Panel	Conan_OBrien	jS4StfBp4K4
The Secret Life Of Walter Mitty TRAILER 3 (2013) - Ben Stiller, Sean Penn Movie HD	https://www.youtube.com/watch?v=PwLhSIOuYSA	152.0	RottenTomatoes_PwLhSIOuYSA	entertainment.movies.trailer	movie-trailers	tv_entertainment	docustyle	Documentary Style	Documentaries	entertainment.movies.clips	movie-clips	tv_entertainment	animated.graphics	Animated Graphics	Graphics	RottenTomatoes	PwLhSIOuYSA
Lisa Frankenstein (2024) - Can't Fight This Feeling on Piano Scene | Movieclips	https://www.youtube.com/watch?v=4NZKyAA5m_Y	174.0	RottenTomatoes_4NZKyAA5m_Y	entertainment.movies.clips	movie-clips	tv_entertainment	dance	Dance	Others	entertainment.music	music	arts/culture	conversation.casual	Talkshows	Interviews	RottenTomatoes	4NZKyAA5m_Y
An ode to transformarative leadership | Ahmad Reyad Al Khazali | TEDxUniversity Of Sharjah	https://www.youtube.com/watch?v=FGpnrLjumAU	560.0	TEDx_FGpnrLjumAU	growth.motivational	selfhelp	lifestyle_wellbeing	persononstage	Stage Talks	Stage Talks	edu.humanities.ethics	humanities	humanities/philosophy	slides	Slidedecks	Slidedecks	TEDx	FGpnrLjumAU
Martha Stewart sparks fury with photo from cruise ship	https://www.youtube.com/watch?v=noy3YdWOAlc	241.0	Fox_US_News_noy3YdWOAlc	news.entertainment	entertainment-news	news	talkinghead.framecorner	Talking Head - Corner	Talking Head	entertainment.variety.talkshow	talkshows	tv_entertainment	docustyle	Documentary Style	Documentaries	Fox_US_News	noy3YdWOAlc
'Baby It's Cold Outside' Cover Song | Matthias & Amanda Faye	https://www.youtube.com/watch?v=Zf2ySIzbfQ8	167.0	Dope_Zf2ySIzbfQ8	entertainment.music	music	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.arts.music	arts	arts/culture	conversation.casual	Talkshows	Interviews	Dope	Zf2ySIzbfQ8
Rent Seeking: Taking Without Giving	https://www.youtube.com/watch?v=iYaA_e0FMW4	329.0	Sprouts_iYaA_e0FMW4	edu.business.economics	economics	socialsciences	animated.comic	Comic Panel Style	Animations	edu.social.politics	politics	socialsciences	animated.cartoon	Cartoon	Animations	Sprouts	iYaA_e0FMW4
Amy Adams Admits She Loves to Eavesdrop Anywhere, Anytime	https://www.youtube.com/watch?v=cXe6vbW6p-0	354.0	Seth_Meyers_cXe6vbW6p-0	entertainment.variety.talkshow	talkshows	tv_entertainment	skit	Skit	Skit	entertainment.variety.latenight	talkshows	tv_entertainment	paneldiscussion.virtual	Panel - Virtual	Panel	Seth_Meyers	cXe6vbW6p-0
How Health Affects Sperm		260.0	SciShow_wTTBefGUWRA	edu.stem.biology.genetics	biology	lifesciences	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.stem.biology.molecularbiology	biology	lifesciences	animated.info	Infographics	Graphics	SciShow	wTTBefGUWRA
7 Shirts Every Guy Should Own (Women LOVE These)	https://www.youtube.com/watch?v=O5JWQp7tdO4	454.0	Courtney_Ryan_O5JWQp7tdO4	lifestyle.style.fashion	fashion	lifestyle_wellbeing	talkinghead.frameregular	Talking Head - Center	Talking Head	vlog.daily	vlog	personal_vlogs	slides	Slidedecks	Slidedecks	Courtney_Ryan	O5JWQp7tdO4
How to Create a Velocity Switched Instrument Using Kontakt | Sampling | Berklee Online	https://www.youtube.com/watch?v=v0YBvLUQcsg	328.0	Berklee_v0YBvLUQcsg	skills.digital.coding	software-tutorials	tutorials	screencast	Screencasts	Screencasts	edu.arts.music	arts	arts/culture	keystrokes	Screencasts	Screencasts	Berklee	v0YBvLUQcsg
'Something is going on in our airspace,' UFO expert warns	https://www.youtube.com/watch?v=Y5FF-_BtZWQ	217.0	Fox_US_News_Y5FF-_BtZWQ	misc.conspiracy	conspiracy	others	docustyle	Documentary Style	Documentaries	news.domestic	domestic-news	news	talkinghead.frameregular	Talking Head - Center	Talking Head	Fox_US_News	Y5FF-_BtZWQ
